month_id,start_date,end_date
201701,2017-01-01,2017-01-31
201702,2017-02-01,2017-02-28
201703,2017-03-01,2017-03-31
201704,2017-04-01,2017-04-30
201705,2017-05-01,2017-05-31
201706,2017-06-01,2017-06-30
201707,2017-07-01,2017-07-31
201708,2017-08-01,2017-08-31
201709,2017-09-01,2017-09-30
201710,2017-10-01,2017-10-31
201711,2017-11-01,2017-11-30
201712,2017-12-01,2017-12-31
201801,2018-01-01,2018-01-31
201802,2018-02-01,2018-02-28
201803,2018-03-01,2018-03-31
201804,2018-04-01,2018-04-30
201805,2018-05-01,2018-05-31
201806,2018-06-01,2018-06-30
201807,2018-07-01,2018-07-31
201808,2018-08-01,2018-08-31
201809,2018-09-01,2018-09-30
201810,2018-10-01,2018-10-31
201811,2018-11-01,2018-11-30
201812,2018-12-01,2018-12-31
